dataset,experiment,method,ensemble_type,auc,pr_auc,n_models
cleveland,competition_replica,single_cb_baseline,single,0.877128,0.8613,1
cleveland,competition_replica,single_cb_origstats_best,single,0.885726,0.8794,1
cleveland,competition_replica,single_cb_origstats_norf,single,0.887436,0.8742,1
cleveland,competition_replica,single_cb_shrink_001,single,0.883839,0.872,1
cleveland,competition_replica,single_lr_onehot,single,0.792595,0.7593,1
cleveland,competition_replica,single_te_cb_a10,single,0.881536,0.8535,1
cleveland,competition_replica,single_top_pipe_f10,single,0.891055,0.8812,1
cleveland,competition_replica,rank_blend_equal,rank_blend,0.895881,0.8865,7
cleveland,competition_replica,hillclimb_blend,hillclimb,0.899193,0.8893,7
cleveland,competition_replica,pfe_meta_classifier,pfe,0.893073,0.882,7
hungarian,competition_replica,single_cb_baseline,single,0.881448,0.8296,1
hungarian,competition_replica,single_cb_origstats_best,single,0.886316,0.8082,1
hungarian,competition_replica,single_cb_origstats_norf,single,0.883455,0.8239,1
hungarian,competition_replica,single_cb_shrink_001,single,0.870584,0.7951,1
hungarian,competition_replica,single_lr_onehot,single,0.849458,0.7683,1
hungarian,competition_replica,single_te_cb_a10,single,0.882,0.8262,1
hungarian,competition_replica,single_top_pipe_f10,single,0.879868,0.7994,1
hungarian,competition_replica,rank_blend_equal,rank_blend,0.900818,0.8245,7
hungarian,competition_replica,hillclimb_blend,hillclimb,0.903879,0.836,7
hungarian,competition_replica,pfe_meta_classifier,pfe,0.897707,0.8157,7
switzerland,competition_replica,single_cb_baseline,single,0.75,0.9706,1
switzerland,competition_replica,single_cb_origstats_best,single,0.793478,0.9767,1
switzerland,competition_replica,single_cb_origstats_norf,single,0.741304,0.9663,1
switzerland,competition_replica,single_cb_shrink_001,single,0.784783,0.9628,1
switzerland,competition_replica,single_lr_onehot,single,0.711957,0.9735,1
switzerland,competition_replica,single_te_cb_a10,single,0.626087,0.9517,1
switzerland,competition_replica,single_top_pipe_f10,single,0.803261,0.9714,1
switzerland,competition_replica,rank_blend_equal,rank_blend,0.806522,0.9694,7
switzerland,competition_replica,hillclimb_blend,hillclimb,0.840217,0.9669,7
switzerland,competition_replica,pfe_meta_classifier,pfe,0.795652,0.9632,7
va_longbeach,competition_replica,single_cb_baseline,single,0.700487,0.8595,1
va_longbeach,competition_replica,single_cb_origstats_best,single,0.724306,0.8841,1
va_longbeach,competition_replica,single_cb_origstats_norf,single,0.68588,0.8511,1
va_longbeach,competition_replica,single_cb_shrink_001,single,0.713383,0.8727,1
va_longbeach,competition_replica,single_lr_onehot,single,0.599289,0.7998,1
va_longbeach,competition_replica,single_te_cb_a10,single,0.716015,0.8438,1
va_longbeach,competition_replica,single_top_pipe_f10,single,0.684301,0.8461,1
va_longbeach,competition_replica,rank_blend_equal,rank_blend,0.732465,0.8742,7
va_longbeach,competition_replica,hillclimb_blend,hillclimb,0.739966,0.8866,7
va_longbeach,competition_replica,pfe_meta_classifier,pfe,0.730491,0.8639,7
