dataset,method,ensemble_type,auc,pr_auc,n_models
cleveland,single_catboost,single,0.896166,0.8886,1
cleveland,single_elastic_net,single,0.904238,0.8978,1
cleveland,single_extra_trees,single,0.904545,0.8907,1
cleveland,single_knn,single,0.913143,0.9036,1
cleveland,single_lasso,single,0.904194,0.8974,1
cleveland,single_lightgbm,single,0.915731,0.9156,1
cleveland,single_logistic_regression,single,0.90472,0.8985,1
cleveland,single_mlp,single,0.901606,0.8879,1
cleveland,single_random_forest,single,0.907659,0.9015,1
cleveland,single_realmlp,single,0.894587,0.8917,1
cleveland,single_ridge,single,0.908098,0.9053,1
cleveland,single_svm,single,0.904808,0.903,1
cleveland,single_tabpfn,single,0.912879,0.9019,1
cleveland,single_xgboost,single,0.887546,0.8822,1
cleveland,rank_blend_equal,rank_blend,0.917047,0.9113,14
cleveland,hillclimb,hillclimb,0.919964,0.9164,2
cleveland,simple_average,simple_avg,0.916477,0.9116,14
cleveland,top3_rank_blend,top_k,0.918845,0.9134,3
cleveland,top5_rank_blend,top_k,0.917113,0.9121,5
hungarian,single_catboost,single,0.888172,0.8174,1
hungarian,single_elastic_net,single,0.9029,0.8553,1
hungarian,single_extra_trees,single,0.910678,0.8488,1
hungarian,single_knn,single,0.894069,0.8416,1
hungarian,single_lasso,single,0.904581,0.8585,1
hungarian,single_lightgbm,single,0.884685,0.8471,1
hungarian,single_logistic_regression,single,0.903252,0.8546,1
hungarian,single_mlp,single,0.898033,0.8369,1
hungarian,single_random_forest,single,0.889251,0.8368,1
hungarian,single_realmlp,single,0.885337,0.8724,1
hungarian,single_ridge,single,0.901094,0.8582,1
hungarian,single_svm,single,0.906564,0.8573,1
hungarian,single_tabpfn,single,0.919912,0.8545,1
hungarian,single_xgboost,single,0.873444,0.8238,1
hungarian,rank_blend_equal,rank_blend,0.912786,0.8775,14
hungarian,hillclimb,hillclimb,0.919912,0.8545,1
hungarian,simple_average,simple_avg,0.910879,0.8774,14
hungarian,top3_rank_blend,top_k,0.919284,0.854,3
hungarian,top5_rank_blend,top_k,0.914643,0.8523,5
switzerland,single_catboost,single,0.767391,0.97,1
switzerland,single_elastic_net,single,0.788043,0.9605,1
switzerland,single_extra_trees,single,0.751087,0.9689,1
switzerland,single_knn,single,0.713587,0.9639,1
switzerland,single_lasso,single,0.75,0.9564,1
switzerland,single_lightgbm,single,0.858696,0.9891,1
switzerland,single_logistic_regression,single,0.706522,0.9623,1
switzerland,single_mlp,single,0.73913,0.9784,1
switzerland,single_random_forest,single,0.75,0.9649,1
switzerland,single_realmlp,single,0.727174,0.9697,1
switzerland,single_ridge,single,0.708696,0.9624,1
switzerland,single_svm,single,0.690217,0.9605,1
switzerland,single_tabpfn,single,0.71413,0.9572,1
switzerland,single_xgboost,single,0.790217,0.9685,1
switzerland,rank_blend_equal,rank_blend,0.754348,0.9719,14
switzerland,hillclimb,hillclimb,0.858696,0.9891,1
switzerland,simple_average,simple_avg,0.744565,0.9626,14
switzerland,top3_rank_blend,top_k,0.829348,0.9857,3
switzerland,top5_rank_blend,top_k,0.803261,0.9813,5
va_longbeach,single_catboost,single,0.717858,0.8696,1
va_longbeach,single_elastic_net,single,0.676536,0.8204,1
va_longbeach,single_extra_trees,single,0.716542,0.8494,1
va_longbeach,single_knn,single,0.700355,0.8392,1
va_longbeach,single_lasso,single,0.677194,0.8416,1
va_longbeach,single_lightgbm,single,0.729241,0.891,1
va_longbeach,single_logistic_regression,single,0.667325,0.8139,1
va_longbeach,single_mlp,single,0.705356,0.8169,1
va_longbeach,single_random_forest,single,0.716542,0.8765,1
va_longbeach,single_realmlp,single,0.727991,0.851,1
va_longbeach,single_ridge,single,0.679432,0.8205,1
va_longbeach,single_svm,single,0.683906,0.8442,1
va_longbeach,single_tabpfn,single,0.672325,0.8301,1
va_longbeach,single_xgboost,single,0.696934,0.8603,1
va_longbeach,rank_blend_equal,rank_blend,0.721542,0.8585,14
va_longbeach,hillclimb,hillclimb,0.757073,0.884,3
va_longbeach,simple_average,simple_avg,0.714173,0.8511,14
va_longbeach,top3_rank_blend,top_k,0.757073,0.884,3
va_longbeach,top5_rank_blend,top_k,0.747533,0.8814,5
