model,dataset,tuning,imbalance,n_folds,oof_auc,oof_pr_auc,mean_fold_auc,std_fold_auc,runtime_s,n_samples,prevalence,auc,pr_auc,accuracy,precision,recall,f1,threshold,feature_set,scenario,minority_pct
catboost,cleveland,competition,native,10,0.8885111423056676,0.8774934984269906,0.9325650452488687,0.03789928813620233,18.39,303,45.9,0.8885111423056676,0.8774934984269906,0.8481848184818482,0.849624060150376,0.8129496402877698,0.8308823529411765,0.49103175459395104,,,
catboost,cleveland,competition,smote,10,0.8791235304439375,0.8708064068193736,0.9343507595345832,0.03638017220055156,18.29,303,45.9,0.8791235304439375,0.8708064068193736,0.8382838283828383,0.8461538461538461,0.7913669064748201,0.8178438661710037,0.4945860264966699,raw,3.0,
catboost,cleveland,dataset,native,10,0.8747148622565363,0.865647841574688,0.928133080155139,0.04235586264004655,440.28,303,45.9,0.8747148622565363,0.865647841574688,0.8448844884488449,0.8650793650793651,0.7841726618705036,0.8226415094339623,0.4998274115200012,,,
catboost,cleveland,dataset,smote,10,0.8697139849096333,0.8613295199014589,0.9380797511312217,0.0331262292416617,456.79,303,45.9,0.8697139849096333,0.8613295199014589,0.8217821782178217,0.8148148148148148,0.7913669064748201,0.8029197080291971,0.4961682781515653,,,
catboost,cleveland,default,native,10,0.8959466573082997,0.887287370754908,0.9254363283775048,0.034490369366739285,5.88,303,45.9,0.8959466573082997,0.887287370754908,0.8415841584158416,0.8421052631578947,0.8057553956834532,0.8235294117647058,0.5485735637170048,,,
catboost,cleveland,default,smote,10,0.896165994034041,0.8886213467111621,0.9295531674208144,0.032650291495475936,5.93,303,45.9,0.896165994034041,0.8886213467111621,0.8415841584158416,0.8421052631578947,0.8057553956834532,0.8235294117647058,0.5127107671008052,,,
catboost,hungarian,competition,native,10,0.8685266961059815,0.7965055787514304,0.9183838383838383,0.0470549067671338,33.67,294,,0.8685266961059815,0.7965055787514304,0.8299319727891157,0.78,0.7358490566037735,0.7572815533980582,0.4949534247944421,raw,3.0,36.05
catboost,hungarian,competition,smote,10,0.876881774387796,0.829038671487356,0.9150956937799043,0.04592085481356953,39.58,294,,0.876881774387796,0.829038671487356,0.8367346938775511,0.7959183673469388,0.7358490566037735,0.7647058823529411,0.49685605939626815,raw,3.0,36.05
catboost,hungarian,dataset,native,10,0.883781613809715,0.8215905195035922,0.9197607655502391,0.04908268261239185,429.41,294,36.1,0.883781613809715,0.8215905195035922,0.8435374149659864,0.7727272727272727,0.8018867924528302,0.7870370370370371,0.5001364902659586,,,
catboost,hungarian,dataset,smote,10,0.8729175030108391,0.8050009183248954,0.9182349813928761,0.044604515447442664,455.32,294,36.1,0.8729175030108391,0.8050009183248954,0.8367346938775511,0.7843137254901961,0.7547169811320755,0.7692307692307693,0.49998171593658086,,,
catboost,hungarian,default,native,10,0.8881724207145725,0.817424069967903,0.9248989898989899,0.048259699570800535,12.48,294,,0.8881724207145725,0.817424069967903,0.8401360544217688,0.7610619469026548,0.8113207547169812,0.7853881278538812,0.4830342170425746,raw,3.0,36.05
catboost,hungarian,default,smote,10,0.8752759935768768,0.8447323289899644,0.9128096757044126,0.03833784978359778,15.75,294,,0.8752759935768768,0.8447323289899644,0.8299319727891157,0.7641509433962265,0.7641509433962265,0.7641509433962265,0.4848994113031839,raw,3.0,36.05
catboost,switzerland,competition,native,15,0.7163043478260869,0.9696427974641526,0.8123188405797103,0.1711955563223411,37.3,123,,0.7163043478260869,0.9696427974641526,0.8699186991869918,0.9714285714285714,0.8869565217391304,0.9272727272727272,0.5008106209103752,raw,3.0,6.5
catboost,switzerland,competition,smote,15,0.7260869565217392,0.9563402252839195,0.8702898550724636,0.1476803771793082,46.18,123,,0.7260869565217392,0.9563402252839195,0.8455284552845529,0.98,0.8521739130434782,0.9116279069767442,0.4909132486851287,raw,3.0,6.5
catboost,switzerland,dataset,native,15,0.6369565217391304,0.9538462152995799,0.8123188405797103,0.1693452059603948,159.92,123,93.5,0.6369565217391304,0.9538462152995799,0.8943089430894309,0.9553571428571429,0.9304347826086956,0.9427312775330396,0.5353343776860756,,,
catboost,switzerland,dataset,smote,15,0.6815217391304347,0.969020685389026,0.8072463768115942,0.19344433290972274,200.59,123,93.5,0.6815217391304347,0.969020685389026,0.8780487804878049,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.5043272380489348,,,
catboost,switzerland,default,native,15,0.6478260869565218,0.958900576548938,0.8318840579710146,0.1375972284222368,13.44,123,,0.6478260869565218,0.958900576548938,0.9024390243902439,0.963963963963964,0.9304347826086956,0.9469026548672567,0.5005826488226237,raw,3.0,6.5
catboost,switzerland,default,smote,15,0.7673913043478261,0.9699887022984318,0.8246376811594203,0.20603935527229986,19.88,123,,0.7673913043478261,0.9699887022984318,0.9024390243902439,0.9813084112149533,0.9130434782608695,0.9459459459459459,0.5089877857209975,raw,3.0,6.5
catboost,va_longbeach,competition,native,15,0.6962758257665482,0.8593628864123593,0.7471755485893418,0.07481525617444362,41.78,200,,0.6962758257665482,0.8593628864123593,0.68,0.8632478632478633,0.6778523489932886,0.7593984962406015,0.49930201300558963,raw,3.0,25.5
catboost,va_longbeach,competition,smote,15,0.7115409922358206,0.857980354325359,0.7491661442006269,0.06630192631823384,49.22,200,,0.7115409922358206,0.857980354325359,0.7,0.8503937007874016,0.7248322147651006,0.782608695652174,0.5305356868486455,raw,3.0,25.5
catboost,va_longbeach,dataset,native,15,0.6900908014212397,0.8559304360679817,0.7493685127133404,0.07702548689230197,317.51,200,74.5,0.6900908014212397,0.8559304360679817,0.705,0.8169014084507042,0.7785234899328859,0.7972508591065293,0.5008047724332637,,,
catboost,va_longbeach,dataset,smote,15,0.7149624950651401,0.860563253748571,0.7501988854057818,0.07071888095692781,344.62,200,74.5,0.7149624950651401,0.860563253748571,0.745,0.8402777777777778,0.8120805369127517,0.825938566552901,0.5032857775425318,,,
catboost,va_longbeach,default,native,15,0.6717989209106461,0.8391050350687531,0.7344562870080111,0.0739116378398553,14.39,200,,0.6717989209106461,0.8391050350687531,0.705,0.8169014084507042,0.7785234899328859,0.7972508591065293,0.4467664703204492,raw,3.0,25.5
catboost,va_longbeach,default,smote,15,0.7178576128437952,0.8696096380645779,0.7550522466039706,0.06443791576380965,18.28,200,,0.7178576128437952,0.8696096380645779,0.745,0.85,0.7986577181208053,0.8235294117647058,0.48581690214017526,raw,3.0,25.5
elastic_net,cleveland,competition,native,10,0.9041059835058782,0.897435777935767,0.9055450064641242,0.04902403693417754,0.79,303,45.9,0.9041059835058782,0.897435777935767,0.834983498349835,0.8396946564885496,0.7913669064748201,0.8148148148148148,0.5856558191178809,,,
elastic_net,cleveland,competition,smote,10,0.9028776978417267,0.8951531674571324,0.903306803490627,0.04908714617689912,0.8,303,45.9,0.9028776978417267,0.8951531674571324,0.8250825082508251,0.8208955223880597,0.7913669064748201,0.8058608058608059,0.6568133830207404,raw,3.0,
elastic_net,cleveland,dataset,native,10,0.8738375153535708,0.8713044312846929,0.9058338720103425,0.05327164322787106,334.89,303,,0.8738375153535708,0.8713044312846929,0.8250825082508251,0.8208955223880597,0.7913669064748201,0.8058608058608059,0.5275487899780273,raw,3.0,45.87
elastic_net,cleveland,dataset,smote,10,0.8845411475697491,0.8797729106891641,0.9045733678086618,0.05243275490053845,344.7,303,,0.8845411475697491,0.8797729106891641,0.8217821782178217,0.8102189781021898,0.7985611510791367,0.8043478260869565,0.5289506912231445,raw,3.0,45.87
elastic_net,cleveland,default,native,10,0.9041059835058782,0.897435777935767,0.9055450064641242,0.04902403693417754,0.79,303,45.9,0.9041059835058782,0.897435777935767,0.834983498349835,0.8396946564885496,0.7913669064748201,0.8148148148148148,0.5856558191178809,,,
elastic_net,cleveland,default,smote,10,0.904237585541323,0.8978248737208532,0.9072256787330316,0.046927561007432464,0.8,303,45.9,0.904237585541323,0.8978248737208532,0.8283828382838284,0.8222222222222222,0.7985611510791367,0.8102189781021898,0.6357425831785757,,,
elastic_net,hungarian,competition,native,10,0.9003914090726615,0.8498825544078649,0.8991547049441786,0.0467508793253532,1.61,294,,0.9003914090726615,0.8498825544078649,0.8537414965986394,0.8461538461538461,0.7264150943396226,0.7817258883248731,0.4840418430227135,raw,3.0,36.05
elastic_net,hungarian,competition,smote,10,0.902900441589723,0.8552928366956619,0.9018234981392876,0.0416045252735691,1.58,294,,0.902900441589723,0.8552928366956619,0.8333333333333334,0.7766990291262136,0.7547169811320755,0.7655502392344498,0.395315325268194,raw,3.0,36.05
elastic_net,hungarian,dataset,native,10,0.8916599759132878,0.8336279987351832,0.8961297182349813,0.043559852421976984,466.78,294,,0.8916599759132878,0.8336279987351832,0.8469387755102041,0.8210526315789474,0.7358490566037735,0.7761194029850746,0.42746016849972374,raw,3.0,36.05
elastic_net,hungarian,dataset,smote,10,0.9023484544359696,0.868710539301032,0.9032323232323233,0.04322839138172173,480.39,294,,0.9023484544359696,0.868710539301032,0.8469387755102041,0.801980198019802,0.7641509433962265,0.782608695652174,0.39286405456228923,raw,3.0,36.05
elastic_net,hungarian,default,native,10,0.9003914090726615,0.8498825544078649,0.8991547049441786,0.0467508793253532,1.53,294,,0.9003914090726615,0.8498825544078649,0.8537414965986394,0.8461538461538461,0.7264150943396226,0.7817258883248731,0.4840418430227135,raw,3.0,36.05
