scenario,model,dataset,feature_set,n_features,n_samples,prevalence,auc_ci_lower,auc_ci_upper,train_time_s,auc,pr_auc,accuracy,precision,recall,f1,threshold,components
zero_shot_stats,catboost,cleveland,raw+competition_stats,13,303,45.9,0.8843915343915344,0.9456178790534618,104.15,0.917310054395508,0.9113397821472462,0.8250825082508251,0.8028169014084507,0.8201438848920863,0.8113879003558719,0.7112853783636699,
zero_shot_stats,catboost,hungarian,raw+competition_stats,13,294,36.1,0.8238026819923371,0.9105173670148167,104.14,0.868627057406664,0.8188165598232813,0.7108843537414966,0.5606936416184971,0.9150943396226415,0.6953405017921147,0.8729379555126162,
zero_shot_stats,catboost,switzerland,raw+competition_stats,13,123,93.5,0.5422077922077921,0.9005847953216375,106.09,0.7326086956521739,0.9748919923962541,0.9186991869918699,0.9411764705882353,0.9739130434782609,0.9572649572649573,0.9811473674592375,
zero_shot_stats,catboost,va_longbeach,raw+competition_stats,13,200,74.5,0.6352796052631579,0.7852176331525518,104.49,0.7131201473878143,0.8758705354622683,0.765,0.765625,0.9865771812080537,0.8621700879765396,0.9644588154195399,
zero_shot_stats,xgboost,cleveland,raw+competition_stats,13,303,45.9,0.8857624711521391,0.9462828445879294,16.93,0.9181874012984734,0.914332556799231,0.8283828382838284,0.8129496402877698,0.8129496402877698,0.8129496402877698,0.7373866438865662,
zero_shot_stats,xgboost,hungarian,raw+competition_stats,13,294,36.1,0.8180076628352491,0.907180050637749,16.87,0.8641107988759534,0.8196625846038722,0.7244897959183674,0.5757575757575758,0.8962264150943396,0.7011070110701108,0.8981520533561707,
zero_shot_stats,xgboost,switzerland,raw+competition_stats,13,123,93.5,0.5630252100840336,0.9100985221674878,16.88,0.7478260869565216,0.9768895687983614,0.9186991869918699,0.9411764705882353,0.9739130434782609,0.9572649572649573,0.9795006513595581,
zero_shot_stats,xgboost,va_longbeach,raw+competition_stats,13,200,74.5,0.6372023809523809,0.7884267631103075,16.8,0.7145019081458086,0.8731305786941128,0.755,0.7631578947368421,0.9731543624161074,0.855457227138643,0.9854128956794739,
zero_shot_stats,lightgbm,cleveland,raw+competition_stats,13,303,45.9,0.8761297182349812,0.9415112512039226,47.8,0.9113002281101946,0.9109645705488736,0.8217821782178217,0.7972027972027972,0.8201438848920863,0.8085106382978723,0.7143399865995687,
zero_shot_stats,lightgbm,hungarian,raw+competition_stats,13,294,36.1,0.8085162655382174,0.9023979198767335,47.78,0.8576374949819351,0.8194464289474249,0.7074829931972789,0.5602409638554217,0.8773584905660378,0.6838235294117647,0.8380910217477291,
