scenario,model,dataset,feature_set,n_features,n_samples,prevalence,auc_ci_lower,auc_ci_upper,train_time_s,auc,pr_auc,accuracy,precision,recall,f1,threshold,components
zero_shot_raw,catboost,cleveland,raw,13,303,45.9,0.8843033509700176,0.9456853677689556,125.95,0.917310054395508,0.9114388596394778,0.8250825082508251,0.8028169014084507,0.8201438848920863,0.8113879003558719,0.7194963451003639,
zero_shot_raw,catboost,hungarian,raw,13,294,36.1,0.8236590038314175,0.9110495390053981,126.2,0.868827780008029,0.8199796900588688,0.7040816326530612,0.5549132947976878,0.9056603773584906,0.6881720430107527,0.8701522377042262,
zero_shot_raw,catboost,switzerland,raw,13,123,93.5,0.5430194805194806,0.9005847953216375,126.29,0.733695652173913,0.9750078020713253,0.9186991869918699,0.9411764705882353,0.9739130434782609,0.9572649572649573,0.9812333412532065,
zero_shot_raw,catboost,va_longbeach,raw,13,200,74.5,0.6377380952380951,0.78671875,126.15,0.7143045137518095,0.8764586126234474,0.765,0.765625,0.9865771812080537,0.8621700879765396,0.9690120148266086,
zero_shot_raw,xgboost,cleveland,raw,13,303,45.9,0.8856831078131819,0.9461015175300889,19.05,0.9180996666081769,0.9141501128682361,0.8250825082508251,0.8071428571428572,0.8129496402877698,0.8100358422939068,0.7346754670143127,
zero_shot_raw,xgboost,hungarian,raw,13,294,36.1,0.8177083333333335,0.9067775258251449,19.62,0.8639100762745885,0.8196702218936097,0.7244897959183674,0.5757575757575758,0.8962264150943396,0.7011070110701108,0.8628748655319214,
zero_shot_raw,xgboost,switzerland,raw,13,123,93.5,0.5652709359605912,0.9130434782608696,19.72,0.7489130434782609,0.9769897350366412,0.9186991869918699,0.9411764705882353,0.9739130434782609,0.9572649572649573,0.9793714284896851,
zero_shot_raw,xgboost,va_longbeach,raw,13,200,74.5,0.6353821616979513,0.7883385579937304,19.21,0.7137123305698118,0.8724315119261707,0.755,0.7631578947368421,0.9731543624161074,0.855457227138643,0.985334038734436,
zero_shot_raw,lightgbm,cleveland,raw,13,303,45.9,0.8766432953549518,0.941712204007286,46.95,0.911344095455343,0.9103557709100278,0.8217821782178217,0.7972027972027972,0.8201438848920863,0.8085106382978723,0.7691771560253209,
zero_shot_raw,lightgbm,hungarian,raw,13,294,36.1,0.8093834188989986,0.9024291497975709,46.96,0.8582396627860297,0.8214121790514843,0.6972789115646258,0.5508982035928144,0.8679245283018868,0.673992673992674,0.7297072019343981,
zero_shot_raw,lightgbm,switzerland,raw,13,123,93.5,0.5474576271186441,0.9083333333333333,46.93,0.7336956521739131,0.9755177732974594,0.9186991869918699,0.9487179487179487,0.9652173913043478,0.9568965517241379,0.958330402332177,
zero_shot_raw,lightgbm,va_longbeach,raw,13,200,74.5,0.616248097412481,0.7746117314850469,46.9,0.6995657323332017,0.858106116153987,0.765,0.7684210526315789,0.9798657718120806,0.8613569321533924,0.9545257623595232,
zero_shot_raw,random_forest,cleveland,raw,13,303,45.9,0.8850523699627195,0.9473859399964496,48.69,0.9185383400596595,0.9139837166286594,0.8250825082508251,0.7905405405405406,0.841726618705036,0.8153310104529616,0.6773188679600786,
zero_shot_raw,random_forest,hungarian,raw,13,294,36.1,0.8444192491811539,0.9270211071286341,48.66,0.8863408269771176,0.8288682159919333,0.6428571428571429,0.5024875621890548,0.9528301886792453,0.6579804560260586,0.9088930100341102,
zero_shot_raw,random_forest,switzerland,raw,13,123,93.5,0.520935960591133,0.8983050847457628,48.64,0.7369565217391304,0.9719505636341106,0.926829268292683,0.9416666666666667,0.9826086956521739,0.9617021276595744,0.9534835178603097,
zero_shot_raw,random_forest,va_longbeach,raw,13,200,74.5,0.6287333333333333,0.7772869022869023,48.88,0.702724042637189,0.8791935286792236,0.745,0.7525773195876289,0.9798657718120806,0.8513119533527697,0.9391777616362688,
zero_shot_raw,extra_trees,cleveland,raw,13,303,45.9,0.8758741258741259,0.9413968547641074,32.9,0.9115414985085102,0.9026753023668054,0.8283828382838284,0.8,0.8345323741007195,0.8169014084507042,0.74,
zero_shot_raw,extra_trees,hungarian,raw,13,294,36.1,0.8254035683942227,0.9118576876756322,30.35,0.8699819349658772,0.8094349131439165,0.7040816326530612,0.5562130177514792,0.8867924528301887,0.6836363636363636,0.85875,
zero_shot_raw,extra_trees,switzerland,raw,13,123,93.5,0.5123152709359606,0.8991596638655461,30.26,0.721195652173913,0.972224392163356,0.926829268292683,0.9491525423728814,0.9739130434782609,0.9613733905579399,0.92875,
zero_shot_raw,extra_trees,va_longbeach,raw,13,200,74.5,0.5342613866738748,0.7090696465696466,29.82,0.6211343597841822,0.7998715094865024,0.76,0.7643979057591623,0.9798657718120806,0.8588235294117647,0.92375,
zero_shot_raw,logistic_regression,cleveland,raw,13,303,45.9,0.8713749126484975,0.9379213729095526,0.11,0.9067818915599228,0.905208703218295,0.8184818481848185,0.795774647887324,0.8129496402877698,0.8042704626334519,0.7226715020093445,
zero_shot_raw,logistic_regression,hungarian,raw,13,294,36.1,0.8280321399705226,0.9173715347381803,0.08,0.8740465676435165,0.8249849157619906,0.7448979591836735,0.6013071895424836,0.8679245283018868,0.7104247104247104,0.8071943797599237,
zero_shot_raw,logistic_regression,switzerland,raw,13,123,93.5,0.435960591133005,0.8694444444444445,0.08,0.6652173913043478,0.9648731616974171,0.9024390243902439,0.9478260869565217,0.9478260869565217,0.9478260869565217,0.9740619281913854,
zero_shot_raw,logistic_regression,va_longbeach,raw,13,200,74.5,0.6217790570175438,0.7830621610346267,0.08,0.7075273062245032,0.854460785792265,0.755,0.7659574468085106,0.9664429530201343,0.8545994065281899,0.9784926143323395,
zero_shot_raw,ridge,cleveland,raw,13,303,45.9,0.8712789175032737,0.9383298392732355,0.05,0.907308299701702,0.9047573198197635,0.8085808580858086,0.9175257731958762,0.6402877697841727,0.7542372881355932,0.10765131218807476,
zero_shot_raw,ridge,hungarian,raw,13,294,36.1,0.8294329896907215,0.9183094384707289,0.04,0.8752007226013647,0.8262052727809727,0.8401360544217688,0.8241758241758241,0.7075471698113207,0.7614213197969543,0.39548592668111465,
zero_shot_raw,ridge,switzerland,raw,13,123,93.5,0.4277777777777778,0.8694444444444445,0.04,0.6543478260869565,0.9631244797172993,0.7235772357723578,0.9550561797752809,0.7391304347826086,0.8333333333333334,0.12733334060477564,
zero_shot_raw,ridge,va_longbeach,raw,13,200,74.5,0.6220192795535261,0.7822901735945215,0.04,0.7070009211738387,0.8558476605802525,0.735,0.7857142857142857,0.8859060402684564,0.832807570977918,0.8442338418208365,
zero_shot_raw,lasso,cleveland,raw,13,303,45.9,0.8714535137494545,0.937903366474795,2.1,0.9067818915599227,0.9050140284741728,0.8184818481848185,0.795774647887324,0.8129496402877698,0.8042704626334519,0.7232233437661622,
